id,month,area,humidity
43282,7,Cambridge,66.053
43283,7,Cambridge,62.519
43284,7,Cambridge,64.017
43285,7,Cambridge,68.052
43286,7,Cambridge,63.632
43287,7,Cambridge,66.744
43288,7,Cambridge,61.464
43289,7,Cambridge,65.883
43290,7,Cambridge,67.303
43291,7,Cambridge,67.404
43292,7,Cambridge,68.202
43293,7,Cambridge,68.299
43294,7,Cambridge,67.993
43295,7,Cambridge,66.26
43296,7,Cambridge,65.185
43297,7,Jacksonville,65.886
43298,7,Jacksonville,66.296
43299,7,Jacksonville,69.958
43300,7,Jacksonville,67.198
43301,7,Jacksonville,68.11
43302,7,Jacksonville,67.812
43303,7,Jacksonville,70.692
43304,7,Jacksonville,66.545
43305,7,Jacksonville,67.863
43306,7,Jacksonville,67.532
43307,7,Jacksonville,68.694
43308,7,Jacksonville,67.588
43309,7,Jacksonville,65.474
43310,7,Jacksonville,65.438
43311,7,Jacksonville,66.05
43312,7,Jacksonville,66.872
43313,8,Jacksonville,67.261
43314,8,Jacksonville,70.509
43315,8,Jacksonville,68.736
43316,8,Jacksonville,66.021
43317,8,Jacksonville,66.142
43318,8,Jacksonville,68.851
43319,8,Jacksonville,66.501
43320,8,Jacksonville,67.7
43321,8,Jacksonville,65.842
43322,8,Jacksonville,67.37
43323,8,Jacksonville,68.433
43324,8,Jacksonville,67.367
43325,8,Jacksonville,67.902
43326,8,Jacksonville,68.495
43327,8,Jacksonville,64.27
43328,8,Jacksonville,67.874
43329,8,Jacksonville,66.441
43330,8,Jacksonville,70.493
43331,8,Jacksonville,67.952
43332,8,Jacksonville,66.262
43333,8,Jacksonville,70.438
43334,8,Jacksonville,71.474
43335,8,Jacksonville,64.326
43336,8,Jacksonville,68.781
43337,8,Jacksonville,69.244
43338,8,Jacksonville,66.486
43339,8,Cambridge,64.483
43340,8,Cambridge,65.086
43341,8,Cambridge,67.638
43342,8,Cambridge,69.908
43343,8,Cambridge,65.326
43344,9,Cambridge,68.357
43345,9,Jacksonville,67.136
43346,9,Jacksonville,66.435
43347,9,Jacksonville,68.993
43348,9,Jacksonville,67.343
43349,9,Jacksonville,66.937
43350,9,Jacksonville,67.373
43351,9,Jacksonville,66.088
43352,9,Jacksonville,65.986
43353,9,Jacksonville,65.67
43354,9,Jacksonville,64.9
43355,9,Jacksonville,69.052
43356,9,Jacksonville,66.569
43357,9,Jacksonville,66.605
43358,9,Jacksonville,71.807
43359,9,Jacksonville,67.77
43360,9,Jacksonville,64.709
43361,9,Jacksonville,66.437
43362,9,Jacksonville,67.943
43363,9,Jacksonville,68.79
43364,9,Jacksonville,68.838
43365,9,Jacksonville,65.534
43366,9,Jacksonville,66.163
43367,9,Jacksonville,67.396
43368,9,Jacksonville,70.423
43369,9,Jacksonville,72.483
43370,9,Jacksonville,67.367
43371,9,Jacksonville,67.892
43372,9,Jacksonville,70.071
43373,9,Jacksonville,71.266
43374,10,Jacksonville,68.862
43375,10,Jacksonville,71.701
43376,10,Jacksonville,71.587
43377,10,Jacksonville,67.155
43378,10,Jacksonville,66.672
43379,10,Jacksonville,68.758
43380,10,Jacksonville,68.524
43381,10,Jacksonville,69.252
43382,10,Jacksonville,67.122
43383,10,Jacksonville,68.292
43384,10,Jacksonville,69.832
43385,10,Jacksonville,67.917
43386,10,Jacksonville,72.819
43387,10,Jacksonville,67.542
43388,10,Cambridge,73.126
43389,10,Cambridge,69.378
43390,10,Cambridge,72.335
43391,10,Cambridge,68.214
43392,10,Cambridge,68.85
43393,10,Cambridge,70.238
43394,10,Cambridge,69.13
43395,10,Cambridge,66.314
43396,10,Cambridge,71.47
43397,10,Cambridge,67.496
43398,10,Cambridge,72.656
43399,10,Cambridge,71.114
43400,10,Cambridge,70.355
43401,10,Cambridge,72.308
43402,10,Cambridge,71.199
43403,10,Cambridge,70.699
43404,10,Cambridge,68.578
43405,11,Cambridge,69.942
43406,11,Cambridge,69.32
43407,11,Cambridge,70.019
43408,11,Jacksonville,67.612
43409,11,Jacksonville,71.819
43410,11,Jacksonville,67.673
43411,11,Jacksonville,70.513
43412,11,Jacksonville,73.121
43413,11,Jacksonville,72.957
43414,11,Jacksonville,71.993
43415,11,Jacksonville,72.917
43416,11,Jacksonville,75.913
43417,11,Jacksonville,72.901
43418,11,Jacksonville,72.862
43419,11,Jacksonville,75.322
43420,11,Jacksonville,73.609
43421,11,Jacksonville,68.886
43422,11,Jacksonville,72.25
43423,11,Jacksonville,76.437
43424,11,Jacksonville,73.819
43425,11,Jacksonville,72.441
43426,11,Jacksonville,72.899
43427,11,Jacksonville,72.498
43428,11,Jacksonville,71.75
43429,11,Jacksonville,72.484
43430,11,Jacksonville,71.189
43431,11,Jacksonville,73.251
43432,11,Jacksonville,69.916
43433,11,Jacksonville,71.128
43434,11,Jacksonville,75.06
43435,12,Cambridge,72.584
43436,12,Cambridge,71.812
43437,12,Cambridge,73.683
43438,12,Cambridge,76.504
43439,12,Cambridge,70.139
43440,12,Cambridge,72.615
43441,12,Cambridge,72.581
43442,12,Cambridge,77.731
43443,12,Cambridge,71.983
43444,12,Cambridge,69.775
43445,12,Cambridge,74.557
43446,12,Cambridge,70.247
43447,12,Jacksonville,72.326
43448,12,Jacksonville,70.803
43449,12,Jacksonville,73.972
43450,12,Jacksonville,70.555
43451,12,Jacksonville,72.224
43452,12,Jacksonville,71.02
43453,12,Jacksonville,72.093
43454,12,Jacksonville,70.625
43455,12,Jacksonville,76.776
43456,12,Jacksonville,69.539
43457,12,Jacksonville,74.425
43458,12,Jacksonville,72.823
43459,12,Jacksonville,70.888
43460,12,Jacksonville,72.113
43461,12,Jacksonville,71.305
43462,12,Jacksonville,71.468
43463,12,Jacksonville,76.239
43464,12,Jacksonville,72.586
43465,12,Jacksonville,76.7
43466,1,Jacksonville,73.878
43467,1,Jacksonville,73.594
43468,1,Jacksonville,71.25
43469,1,Jacksonville,72.177
43470,1,Jacksonville,71.842
43471,1,Jacksonville,74.132
43472,1,Jacksonville,71.634
43473,1,Jacksonville,77.361
43474,1,Jacksonville,74.652
43475,1,Jacksonville,73.877
43476,1,Jacksonville,76.112
43477,1,Jacksonville,68.458
43478,1,Jacksonville,72.805
43479,1,Jacksonville,76.284
43480,1,Jacksonville,72.38
43481,1,Jacksonville,72.945
43482,1,Jacksonville,67.908
43483,1,Jacksonville,72.409
43484,1,Cambridge,73.636
43485,1,Cambridge,67.859
43486,1,Cambridge,73.081
43487,1,Cambridge,75.314
43488,1,Cambridge,73.204
43489,1,Cambridge,72.944
43490,1,Cambridge,76.432
43491,1,Jacksonville,71.324
43492,1,Jacksonville,75.085
43493,1,Jacksonville,74.124
43494,1,Jacksonville,69.633
43495,1,Jacksonville,68.756
43496,1,Jacksonville,72.801
43497,2,Jacksonville,67.65
43498,2,Jacksonville,69.91
43499,2,Jacksonville,74.005
43500,2,Jacksonville,70.838
43501,2,Jacksonville,73.426
43502,2,Jacksonville,72.802
43503,2,Jacksonville,75.08
43504,2,Jacksonville,73.469
43505,2,Jacksonville,71.299
43506,2,Jacksonville,72.308
43507,2,Jacksonville,69.309
43508,2,Jacksonville,73.882
43509,2,Jacksonville,70.374
43510,2,Jacksonville,69.289
43511,2,Jacksonville,68.524
43512,2,Jacksonville,75.801
43513,2,Jacksonville,72.512
43514,2,Jacksonville,71.47
43515,2,Jacksonville,74.189
43516,2,Jacksonville,75.535
43517,2,Jacksonville,71.858
43518,2,Jacksonville,70.392
43519,2,Jacksonville,73.198
43520,2,Jacksonville,74.871
43521,2,Jacksonville,75.509
43522,2,Jacksonville,73.712
43523,2,Jacksonville,69.611
43524,2,Jacksonville,73.019
43525,3,Jacksonville,75.882
43526,3,Jacksonville,73.314
43527,3,Cambridge,70.681
43528,3,Jacksonville,70.811
43529,3,Cambridge,72.731
43530,3,Jacksonville,74.019
43531,3,Jacksonville,68.366
43532,3,Jacksonville,71.225
43533,3,Jacksonville,74.048
43534,3,Jacksonville,67.403
43535,3,Jacksonville,71.948
43536,3,Jacksonville,72.09
43537,3,Jacksonville,71.668
43538,3,Jacksonville,69.871
43539,3,Jacksonville,72.264
43540,3,Jacksonville,71.463
43541,3,Jacksonville,73.863
43542,3,Jacksonville,70.506
43543,3,Jacksonville,70.509
43544,3,Jacksonville,71.235
43545,3,Jacksonville,73.75
43546,3,Jacksonville,71.393
43547,3,Jacksonville,71.848
43548,3,Jacksonville,68.696
43549,3,Jacksonville,68.048
43550,3,Jacksonville,70.341
43551,3,Jacksonville,69.393
43552,3,Jacksonville,71.301
43553,3,Jacksonville,72.924
43554,3,Jacksonville,72.898
43555,3,Jacksonville,70.23
43556,4,Jacksonville,71.685
43557,4,Jacksonville,72.236
43558,4,Jacksonville,68.986
43559,4,Cambridge,73.573
43560,4,Jacksonville,73.382
43561,4,Cambridge,69.399
43562,4,Jacksonville,70.075
43563,4,Jacksonville,72.914
43564,4,Jacksonville,74.829
43565,4,Jacksonville,70.587
43566,4,Jacksonville,71.95
43567,4,Jacksonville,73.141
43568,4,Jacksonville,67.582
43569,4,Jacksonville,70.708
43570,4,Jacksonville,73.234
43571,4,Jacksonville,68.204
43572,4,Jacksonville,69.589
43573,4,Jacksonville,67.833
43574,4,Jacksonville,72.039
43575,4,Jacksonville,74.767
43576,4,Jacksonville,66.989
43577,4,Jacksonville,72.329
43578,4,Cambridge,68.286
43579,4,Cambridge,72.698
43580,4,Cambridge,71.097
43581,4,Cambridge,71.337
43582,4,Cambridge,66.385
43583,4,Jacksonville,70.368
43584,4,Jacksonville,72.287
43585,4,Jacksonville,72.876
43586,5,Jacksonville,70.968
43587,5,Jacksonville,69.044
43588,5,Jacksonville,72.459
43589,5,Jacksonville,73.731
43590,5,Jacksonville,69.185
43591,5,Jacksonville,72.344
43592,5,Jacksonville,74.07
43593,5,Jacksonville,68.072
43594,5,Jacksonville,67.402
43595,5,Jacksonville,68.353
43596,5,Jacksonville,67.263
43597,5,Cambridge,67.243
43598,5,Jacksonville,65.992
43599,5,Cambridge,67.265
43600,5,Jacksonville,69.084
43601,5,Jacksonville,70.493
43602,5,Jacksonville,70.061
43603,5,Jacksonville,70.914
43604,5,Jacksonville,69.928
43605,5,Jacksonville,69.581
43606,5,Jacksonville,68.717
43607,5,Jacksonville,65.774
43608,5,Jacksonville,68.309
43609,5,Jacksonville,69.527
43610,5,Jacksonville,67.901
43611,5,Jacksonville,67.123
43612,5,Jacksonville,65.379
43613,5,Jacksonville,68.067
43614,5,Jacksonville,70.699
43615,5,Jacksonville,65.954
43616,5,Jacksonville,70.78
43617,6,Jacksonville,71.072
43618,6,Cambridge,69.878
43619,6,Jacksonville,70.504
43620,6,Cambridge,66.156
43621,6,Jacksonville,67.642
43622,6,Jacksonville,66.277
43623,6,Jacksonville,66.956
43624,6,Jacksonville,72.228
43625,6,Jacksonville,69.29
43626,6,Jacksonville,68.095
43627,6,Jacksonville,65.519
43628,6,Jacksonville,66.126
43629,6,Cambridge,68.489
43630,6,Cambridge,68.452
43631,6,Cambridge,69.575
43632,6,Cambridge,66.209
43633,6,Cambridge,68.246
43634,6,Jacksonville,71.805
43635,6,Jacksonville,70.896
43636,6,Jacksonville,66.145
43637,6,Jacksonville,70.307
43638,6,Jacksonville,67.119
43639,6,Jacksonville,65.304
43640,6,Jacksonville,65.815
43641,6,Jacksonville,69.089
43642,6,Jacksonville,68.005
43643,6,Jacksonville,69.809
43644,6,Jacksonville,68.314
43645,6,Jacksonville,65.339
43646,6,Jacksonville,72.103
