abalone-id,shucked_weight
a-011,0.2245
a-012,0.0995
a-013,0.2565
a-014,0.2155
a-015,0.0895
a-016,0.141
a-017,0.237
a-018,0.294
a-019,0.2165
a-020,0.3145
a-021,0.194
a-022,0.1675
a-023,0.2175
a-024,0.2725
a-025,0.1675
a-026,0.258
a-027,0.095
a-028,0.188
a-029,0.097
a-030,0.1705
a-031,0.0955
a-032,0.08
a-033,0.4275
a-034,0.318
a-035,0.513
a-036,0.3825
a-037,0.3945
a-038,0.356
a-039,0.394
a-040,0.393
a-041,0.3935
a-042,0.6055
a-043,0.5515
a-044,0.815
a-045,0.633
a-046,0.227
a-047,0.5305
a-048,0.237
a-049,0.381
a-050,0.134
a-051,0.1865
a-052,0.362
a-053,0.0315
a-054,0.0255
a-055,0.0175
a-056,0.0875
a-057,0.293
a-058,0.1775
a-059,0.0755
a-060,0.3545
a-061,0.2385
a-062,0.1335
a-063,0.2595
a-064,0.2105
a-065,0.173
a-066,0.2565
a-067,0.192
a-068,0.2765
a-069,0.042
a-070,0.246
a-071,0.18
a-072,0.305
a-073,0.302
a-074,0.1705
a-075,0.234
a-076,0.234
a-077,0.354
a-078,0.416
a-079,0.2135
a-080,0.063
a-081,0.264
a-082,0.1405
a-083,0.48
a-084,0.474
a-085,0.481
a-086,0.4425
a-087,0.3625
a-088,0.363
a-089,0.282
a-090,0.4695
a-091,0.3845
a-092,0.5105
a-093,0.396
a-094,0.408
a-095,0.38
a-096,0.339
a-097,0.4825
a-098,0.3305
a-099,0.2205
a-100,0.3135
a-101,0.341
a-102,0.307
a-103,0.4015
a-104,0.507
a-105,0.588
a-106,0.5755
a-107,0.269
a-108,0.214
a-109,0.201
a-110,0.2775
a-111,0.105
a-112,0.328
a-113,0.316
a-114,0.3105
a-115,0.4975
a-116,0.291
a-117,0.2935
a-118,0.261
a-119,0.231
a-120,0.136
a-121,0.2375
a-122,0.172
a-123,0.1485
a-124,0.13
a-125,0.2975
a-126,0.233
a-127,0.2555
a-128,0.1305
a-129,0.3465
a-130,0.1145
a-131,0.163
a-132,0.103
a-133,0.304
a-134,0.09
a-135,0.081
a-136,0.0285
a-137,0.1075
a-138,0.112
a-139,0.63
a-140,0.7665
g-008,0.4835
g-009,0.175
g-010,0.085
g-011,0.086
g-012,0.04
g-013,0.1635
g-014,0.0675
g-015,0.094
g-016,0.151
g-017,0.096
g-018,0.341
g-019,0.295
g-020,0.519
g-021,0.34
g-022,0.2075
g-023,0.245
g-024,0.224
g-025,0.052
g-026,0.0105
g-027,0.013
g-028,0.4415
g-029,0.469
g-030,0.5065
g-031,0.37
g-032,0.387
g-033,0.32
g-034,0.392
g-035,0.546
g-036,0.374
g-037,0.2985
g-038,0.4215
g-039,0.53
g-040,0.544
g-041,0.65
g-042,0.5605
g-043,1.0705
g-044,0.765
g-045,0.625
g-046,0.8175
g-047,0.5125
g-048,0.7125
g-049,0.308
g-050,0.486
g-051,0.32
g-052,0.0185
g-053,0.0645
g-054,0.06
g-055,0.053
g-056,0.025
g-057,0.385
g-058,0.399
g-059,0.515
g-060,0.429
g-061,0.4355
g-062,0.621
g-063,0.5455
g-064,0.392
g-065,0.54
g-066,0.5265
g-067,0.365
g-068,0.4845
g-069,0.419
g-070,0.276
g-071,0.092
g-072,0.459
g-073,0.346
g-074,0.285
g-075,0.4445
g-076,0.432
g-077,0.3635
g-078,0.1655
g-079,0.254
g-080,0.234
g-081,0.2985
g-082,0.171
g-083,0.186
g-084,0.109
g-085,0.1495
g-086,0.2755
g-087,0.122
g-088,0.1995
g-089,0.0755
g-090,0.1595
g-091,0.241
g-092,0.2475
g-093,0.244
g-094,0.174
g-095,0.1265
g-096,0.1665
g-097,0.1305
g-098,0.1785
g-099,0.187
g-100,0.22
g-101,0.181
g-102,0.1285
g-103,0.1715
g-104,0.121
g-105,0.078
g-106,0.404
g-107,0.2935
g-108,0.336
g-109,0.31
g-110,0.496
g-111,0.0485
g-112,0.1815
g-113,0.0485
g-114,0.001
g-115,0.0045
g-116,0.0025
g-117,0.0075
g-118,0.3495
g-119,0.034
g-120,0.026
g-121,0.0435
g-122,0.063
g-123,0.0705
g-124,0.0635
g-125,0.0745
g-126,0.0675
g-127,0.082
g-128,0.0655
g-129,0.4205
g-130,0.5135
g-131,0.4485
g-132,0.485
g-133,0.3835
g-134,0.3805
g-135,0.341
g-136,0.605
g-137,0.4775
g-138,0.394
g-139,0.3675
g-140,0.319
g-141,0.0445
g-142,0.0465
g-143,0.3
g-144,0.3615
g-145,0.1225
g-146,0.2185
g-147,0.2035
g-148,0.4535
g-149,0.412
g-150,0.3875
g-151,0.56
g-152,0.4105
g-153,0.7425
g-154,0.493
g-155,0.532
g-156,0.55
g-157,0.2665
g-158,0.314
g-159,0.0915
g-160,0.177
g-161,0.2285
g-162,0.325
g-163,0.295
g-164,0.288
g-165,0.242
g-166,0.132
g-167,0.3155
g-168,0.3835
g-169,0.501
g-170,0.428
g-171,0.342
g-172,0.384
g-173,0.049
g-174,0.045
g-175,0.039
g-176,0.2215
g-177,0.0905
g-178,0.1455
g-179,0.322
g-180,0.1065
g-181,0.0885
g-182,0.182
g-183,0.0125
g-184,0.007
g-185,0.471
g-186,0.2505
g-187,0.3925
g-188,0.4635
g-189,0.443
g-190,0.4595
g-191,0.381
g-192,0.4335
g-193,0.194
g-194,0.576
g-195,0.1465
g-196,0.315
g-197,0.066
g-198,0.0425
g-199,0.0165
g-200,0.1065
g-201,0.039
g-202,0.0935
g-203,0.097
g-204,0.073
g-205,0.27
g-206,0.0865
g-207,0.0885
g-208,0.2135
g-209,0.134
g-210,0.0475
g-211,0.0335
g-212,0.598
g-213,0.5705
g-214,0.403
g-215,0.473
g-216,0.6045
g-217,0.406
g-218,0.581
g-219,0.4775
g-220,0.579
g-221,0.2325
g-222,0.3005
g-223,0.2795
g-224,0.2745
g-225,0.08
g-226,0.092
g-227,0.56
g-228,0.536
g-229,0.3325
g-230,0.4465
g-231,0.408
g-232,0.509
g-233,0.7415
g-234,0.6935
g-235,0.7035
g-236,0.9265
g-237,0.7495
g-238,0.48
g-239,0.392
g-240,0.61
g-241,0.4085
g-242,0.4985
g-243,0.4215
g-244,0.4405
g-245,0.479
g-246,0.458
g-247,0.68
g-248,0.6645
g-249,0.692
g-250,0.585
g-251,0.5095
g-252,0.4635
g-253,0.6845
g-254,0.4935
g-255,0.4995
g-256,0.3895
g-257,0.3705
g-258,0.3755
g-259,0.33
g-260,0.313
g-261,0.226
g-262,0.373
g-263,0.216
g-264,0.3515
g-265,0.207
g-266,0.239
g-267,0.222
g-268,0.1535
g-269,0.277
g-270,0.252
g-271,0.1075
g-272,0.0755
g-273,0.116
g-274,0.3165
g-275,0.2385
g-276,0.256
g-277,0.4355
g-278,0.27
g-279,0.295
g-280,0.178
g-281,0.3115
g-282,0.1655
g-283,0.3685
g-284,0.2125
g-285,0.39
g-286,0.4
g-287,0.3395
g-288,0.4565
g-289,0.41
g-290,0.4625
g-291,0.3475
g-292,0.528
g-293,0.3605
g-294,0.5595
g-295,0.488
g-296,0.367
g-297,0.223
g-298,0.518
g-299,0.2165
g-300,0.2465
g-301,0.036
g-302,0.037
g-303,0.425
g-304,0.3935
g-305,0.3995
g-306,0.344
g-307,0.3775
g-308,0.38
g-309,0.4375
g-310,0.342
g-311,0.2475
g-312,0.122
g-313,0.2815
g-314,0.084
g-315,0.0915
g-316,0.143
g-317,0.249
g-318,0.095
g-319,0.0785
g-320,0.275
g-321,0.134
g-322,0.159
g-323,0.283
g-324,0.329
g-325,0.354
g-326,0.4765
g-327,0.365
g-328,0.6975
g-329,0.592
g-330,0.581
g-331,0.405
g-332,0.57
g-333,0.3485
g-334,0.51
g-335,0.0695
g-336,0.123
g-337,0.293
g-338,0.115
g-339,0.3865
g-340,0.026
g-341,0.0215
g-342,0.0255
g-343,0.008
g-344,0.5425
g-345,0.567
g-346,0.5975
g-347,0.545
g-348,0.313
g-349,0.2895
g-350,0.151
g-351,0.2645
g-352,0.272
g-353,0.261
g-354,0.1565
g-355,0.4955
g-356,0.637
g-357,0.5305
g-358,0.7055
g-359,0.3605
g-360,0.3785
g-361,0.429
g-362,0.4235
g-363,0.381
g-364,0.378
g-365,0.5235
g-366,0.3485
g-367,0.44
g-368,0.475
g-369,0.357
g-370,0.5345
g-371,0.486
g-372,0.5875
g-373,0.3445
g-374,0.4245
g-375,0.435
g-376,0.427
g-377,0.3275